Estación,Longitud,Latitud,Tmax,Pmax,Date
ENP1,-99.1220,19.2713,12.6,787.5,2022-01
ENP2,-99.0999,19.3840,12.6,789.0,2022-01
ENP3,-99.0948,19.4818,12.6,788.6,2022-01
ENP4,-99.1949,19.4037,null,null,2022-01
ENP5,-99.0805,19.1624,12.7,787.8,2022-01
ENP6,-99.0924,19.2107,12.8,784.0,2022-01
ENP7,-99.1269,19.4197,12.2,786.7,2022-01
ENP8,-99.1945,19.3674,null,null,2022-01
ENP9,-99.1281,19.4833,12.4,788.4,2022-01
ENP1,-99.1220,19.2713,11.6,785.3,2022-02
ENP2,-99.0999,19.3840,13.1,786.5,2022-02
ENP3,-99.0948,19.4818,13.4,786.4,2022-02
ENP4,-99.1949,19.4037,12.2,779.4,2022-02
ENP5,-99.0805,19.1624,11.2,785.5,2022-02
ENP6,-99.0924,19.2107,12.5,781.6,2022-02
ENP7,-99.1269,19.4197,13.0,786.9,2022-02
ENP8,-99.1945,19.3674,11.0,779.4,2022-02
ENP9,-99.1281,19.4833,12.9,786.1,2022-02
ENP1,-99.1220,19.2713,14.5,783.6,2022-03
ENP2,-99.0999,19.3840,null,null,2022-03
ENP3,-99.0948,19.4818,18.8,784.6,2022-03
ENP4,-99.1949,19.4037,19.2,778.0,2022-03
ENP5,-99.0805,19.1624,14.7,783.8,2022-03
ENP6,-99.0924,19.2107,19.3,780.4,2022-03
ENP7,-99.1269,19.4197,19.7,785.3,2022-03
ENP8,-99.1945,19.3674,18.6,777.9,2022-03
ENP9,-99.1281,19.4833,18.3,784.4,2022-03
ENP1,-99.1220,19.2713,13.5,784.6,2022-04
ENP2,-99.0999,19.3840,null,null,2022-04
ENP3,-99.0948,19.4818,12.4,785.4,2022-04
ENP4,-99.1949,19.4037,11.6,779.0,2022-04
ENP5,-99.0805,19.1624,12.4,785.0,2022-04
ENP6,-99.0924,19.2107,17.5,780.2,2022-04
ENP7,-99.1269,19.4197,12.5,786.3,2022-04
ENP8,-99.1945,19.3674,11.4,779.0,2022-04
ENP9,-99.1281,19.4833,12.5,785.2,2022-04
ENP1,-99.1220,19.2713,16.1,784.4,2022-05
ENP2,-99.0999,19.3840,null,null,2022-05
ENP3,-99.0948,19.4818,17.3,785.0,2022-05
ENP4,-99.1949,19.4037,15.0,778.9,2022-05
ENP5,-99.0805,19.1624,15.3,784.8,2022-05
ENP7,-99.1269,19.4197,18.6,785.9,2022-05
ENP8,-99.1945,19.3674,13.8,779.0,2022-05
ENP9,-99.1281,19.4833,17.4,784.9,2022-05
ENP1,-99.1220,19.2713,17.8,785.0,2022-06
ENP2,-99.0999,19.3840,null,null,2022-06
ENP3,-99.0948,19.4818,17.6,785.1,2022-06
ENP4,-99.1949,19.4037,17.5,779.4,2022-06
ENP5,-99.0805,19.1624,16.5,785.3,2022-06
ENP7,-99.1269,19.4197,17.2,786.7,2022-06
ENP8,-99.1945,19.3674,15.2,779.4,2022-06
ENP9,-99.1281,19.4833,null,null,2022-06
ENP1,-99.1220,19.2713,17.6,784.8,2022-07
ENP2,-99.0999,19.3840,null,null,2022-07
ENP3,-99.0948,19.4818,18.6,785.6,2022-07
ENP4,-99.1949,19.4037,17.7,779.2,2022-07
ENP5,-99.0805,19.1624,18.4,785.0,2022-07
ENP7,-99.1269,19.4197,18.1,786.5,2022-07
ENP8,-99.1945,19.3674,17.3,779.2,2022-07
ENP9,-99.1281,19.4833,15.8,785.2,2022-07
ENP1,-99.1220,19.2713,17.6,784.1,2022-08
ENP2,-99.0999,19.3840,null,null,2022-08
ENP3,-99.0948,19.4818,16.7,785.1,2022-08
ENP4,-99.1949,19.4037,16.6,778.6,2022-08
ENP5,-99.0805,19.1624,15.8,784.5,2022-08
ENP7,-99.1269,19.4197,17.9,785.9,2022-08
ENP8,-99.1945,19.3674,15.4,778.6,2022-08
ENP9,-99.1281,19.4833,16.2,785.0,2022-08
ENP1,-99.1220,19.2713,13.1,784.9,2022-09
ENP2,-99.0999,19.3840,null,null,2022-09
ENP3,-99.0948,19.4818,13.9,786.1,2022-09
ENP5,-99.0805,19.1624,14.6,784.6,2022-09
ENP8,-99.1945,19.3674,13.1,779.3,2022-09
ENP9,-99.1281,19.4833,14.5,785.3,2022-09
ENP1,-99.1220,19.2713,15.3,785.0,2022-10
ENP2,-99.0999,19.3840,null,null,2022-10
ENP3,-99.0948,19.4818,17.4,786.2,2022-10
ENP5,-99.0805,19.1624,14.9,785.3,2022-10
ENP8,-99.1945,19.3674,14.0,779.5,2022-10
ENP1,-99.1220,19.2713,12.6,786.5,2022-11
ENP2,-99.0999,19.3840,null,null,2022-11
ENP3,-99.0948,19.4818,15.4,786.1,2022-11
ENP5,-99.0805,19.1624,15.3,785.8,2022-11
ENP8,-99.1945,19.3674,14.1,779.5,2022-11
ENP1,-99.1220,19.2713,12.6,786.5,2022-12
ENP2,-99.0999,19.3840,null,null,2022-12
ENP5,-99.0805,19.1624,14.2,786.8,2022-12
